Team,1,2,3,4,5,6,7,8
76ers,Philadelphia,PHI,Sixers,,,,,
Blazers,Portland,POR,Trail Blazers,,,,,
Bucks,Milwaukee,MIL,,,,,,
Bulls,Chicago,CHI,,,,,,
Cavaliers,Cleveland,CLE,Cavs,,,,,
Celtics,Boston,BOS,,,,,,
Clippers,Los Angeles,LAC,LA,,,,,
Grizzlies,Memphis,MEM,Grizz,,,,,
Hawks,Atlanta,ATL,,,,,,
Heat,Miami,MIA,,,,,,
Hornets,Charlotte,CHO,,,,,,
Jazz,Utah,UTA,,,,,,
Kings,Sacramento,SAC,,,,,,
Knicks,New York,NYK,NY,,,,,
Lakers,Los Angeles,LAL,LA,,,,,
Magic,Orlando,ORL,,,,,,
Mavericks,Dallas,DAL,Mavs,,,,,
Nets,Brooklyn,BKN,New Jersey,,,,,
Nuggets,Denver,DEN,,,,,,
Pacers,Indiana,IND,,,,,,
Pelicans,New Orleans,NOP,Pels,,,,,
Pistons,Detroit,DET,,,,,,
Raptors,Toronto,TOR,Raps,,,,,
Rockets,Houston,HOU,,,,,,
Spurs,San Antonio,SAS,,,,,,
Suns,Phoenix,PHO,,,,,,
Thunder,Oklahoma City,OKC,Sonics,,,,,
Timberwolves,Minnesota,MIN,T-Wolves,TWolves,Wolves,,,
Warriors,Golden State,GSW,Dubs,,,,,
Wizards,Washington,WAS,Wiz,,,,,
